FIPS,Geographic Identifier,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,State (FIPS),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Drove Alone,Workers 16 Years and Over: Carpooled,Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Motorcycle,Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,Workers 16 Years and Over: Other Means,Workers 16 Years and Over: Worked At Home
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,SE_T128_001,SE_T128_002,SE_T128_009,SE_T128_010,SE_T128_003,SE_T128_004,SE_T128_005,SE_T128_006,SE_T128_007,SE_T128_008
46,04000US46,South Dakota,South Dakota,sd,40,0,ACSSF,1,46,429062,380557,341415,39142,2338,872,2197,16424,2984,23690
47,04000US47,Tennessee,Tennessee,tn,40,0,ACSSF,1,47,2892838,2681923,2417207,264716,24001,3707,3967,39242,27675,112323
48,04000US48,Texas,Texas,tx,40,0,ACSSF,1,48,12237558,11128101,9830530,1297571,194229,23452,33420,192854,144521,520981
49,04000US49,Utah,Utah,ut,40,0,ACSSF,1,49,1355380,1186581,1029092,157489,35145,4826,11242,35290,9574,72722
50,04000US50,Vermont,Vermont,vt,40,0,ACSSF,1,50,319484,270559,241546,29013,4055,378,2514,18156,2260,21562
51,04000US51,Virginia,Virginia,va,40,0,ACSSF,1,51,4068919,3534315,3148471,385844,186189,6902,16928,95640,38552,190393
53,04000US53,Washington,Washington,wa,40,0,ACSSF,1,53,3305438,2727692,2390182,337510,206417,11805,30535,118088,26695,184206
54,04000US54,West Virginia,West Virginia,wv,40,0,ACSSF,1,54,734644,675489,602679,72810,6693,547,1058,21569,6414,22874
55,04000US55,Wisconsin,Wisconsin,wi,40,0,ACSSF,1,55,2862898,2548343,2310258,238085,56048,7123,22249,93346,16402,119387
56,04000US56,Wyoming,Wyoming,wy,40,0,ACSSF,1,56,289595,253813,222902,30911,4399,616,2368,11814,2694,13891
72,04000US72,Puerto Rico,Puerto Rico,pr,40,0,ACSSF,1,72,1021378,922940,832353,90587,24093,1295,2122,33155,15854,21919
